10 65 51 63 56 36 64
20 230 205 275 151 107 185
30 495 454 631 259 192 325
40 860 806 1140 381 286 486
50 1325 1254 1793 508 391 654
60 1890 1798 2600 636 504 827
70 2555 2454 3555 775 622 1013
80 3320 3201 4665 920 742 1207
90 4185 4044 5917 1066 868 1404
100 5150 4997 7327 1213 1004 1605
