10 55 29 41 22 24 38
20 210 111 181 63 71 114
30 465 240 417 111 127 203
40 820 421 755 165 189 306
50 1275 650 1189 222 257 414
60 1830 927 1729 280 330 525
70 2485 1260 2361 343 406 645
80 3240 1638 3102 408 484 770
90 4095 2065 3938 474 566 897
100 5050 2546 4876 541 653 1027
